match,match_iupac,ins,del,sub,invalid,valid,valid_s1,invalid_s1,valid_s2,invalid_s2,del_terminal,del_internal,ins_terminal,ins_internal,seq1,seq2,invalid_char_s1,invalid_char_s2,sample,length_s1,length_s2
1336,0,0,0,0,74,1336,1347,63,1385,25,0,0,0,0,BU-NEIDL,DCLS,[np.str_('N')],[np.str_('N')],SRR28460730_Influenza_A_6,1399,1394
1336,0,0,0,0,74,1336,1347,63,1351,59,0,0,0,0,BU-NEIDL,GPHL,[np.str_('N')],[np.str_('N')],SRR28460730_Influenza_A_6,1399,1410
1336,0,0,0,0,74,1336,1347,63,1410,0,0,0,0,0,BU-NEIDL,MA-DPH,[np.str_('N')],[],SRR28460730_Influenza_A_6,1399,1399
1336,0,11,0,0,63,1347,1347,63,1410,0,0,0,11,0,BU-NEIDL,MDH,[np.str_('N')],[],SRR28460730_Influenza_A_6,1399,1410
1336,0,0,0,0,74,1336,1347,63,1370,40,0,0,0,0,BU-NEIDL,UMN,[np.str_('N')],[np.str_('N')],SRR28460730_Influenza_A_6,1399,1410
1336,0,0,0,0,74,1336,1347,63,1410,0,0,0,0,0,BU-NEIDL,WADDL,[np.str_('N')],[],SRR28460730_Influenza_A_6,1399,1394
1336,0,0,0,0,74,1336,1347,63,1362,48,0,0,0,0,BU-NEIDL,WAPHL,[np.str_('N')],[np.str_('N')],SRR28460730_Influenza_A_6,1399,1410
1336,0,0,0,0,74,1336,1347,63,1362,48,0,0,0,0,BU-NEIDL,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR28460730_Influenza_A_6,1399,1410
1351,0,0,0,0,59,1351,1385,25,1351,59,0,0,0,0,DCLS,GPHL,[np.str_('N')],[np.str_('N')],SRR28460730_Influenza_A_6,1394,1410
1369,0,5,0,0,36,1374,1385,25,1410,0,0,0,5,0,DCLS,MA-DPH,[np.str_('N')],[],SRR28460730_Influenza_A_6,1394,1399
