match,match_iupac,ins,del,sub,invalid,valid,valid_s1,invalid_s1,valid_s2,invalid_s2,del_terminal,del_internal,ins_terminal,ins_internal,seq1,seq2,invalid_char_s1,invalid_char_s2,sample,length_s1,length_s2
968,0,0,0,0,37,968,991,14,1005,0,0,0,0,0,BU-NEIDL,DCLS,[np.str_('N')],[],SRR28460730_Influenza_A_7,982,982
968,0,0,0,0,37,968,991,14,994,11,0,0,0,0,BU-NEIDL,GPHL,[np.str_('N')],[np.str_('N')],SRR28460730_Influenza_A_7,982,982
968,0,0,0,0,37,968,991,14,1005,0,0,0,0,0,BU-NEIDL,MA-DPH,[np.str_('N')],[],SRR28460730_Influenza_A_7,982,982
968,0,11,0,0,26,979,991,14,1005,0,0,0,11,0,BU-NEIDL,MDH,[np.str_('N')],[],SRR28460730_Influenza_A_7,982,993
968,0,0,0,0,37,968,991,14,1005,0,0,0,0,0,BU-NEIDL,UMN,[np.str_('N')],[],SRR28460730_Influenza_A_7,982,982
968,0,0,0,0,37,968,991,14,1005,0,0,0,0,0,BU-NEIDL,WADDL,[np.str_('N')],[],SRR28460730_Influenza_A_7,982,982
968,0,0,0,0,37,968,991,14,1005,0,0,0,0,0,BU-NEIDL,WAPHL,[np.str_('N')],[],SRR28460730_Influenza_A_7,982,982
968,0,11,0,0,26,979,991,14,996,9,0,0,11,0,BU-NEIDL,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR28460730_Influenza_A_7,982,1002
971,0,0,0,0,34,971,1005,0,994,11,0,0,0,0,DCLS,GPHL,[],[np.str_('N')],SRR28460730_Influenza_A_7,982,982
982,0,0,0,0,23,982,1005,0,1005,0,0,0,0,0,DCLS,MA-DPH,[],[],SRR28460730_Influenza_A_7,982,982
982,0,11,0,0,12,993,1005,0,1005,0,0,0,11,0,DCLS,MDH,[],[],SRR28460730_Influenza_A_7,982,993
982,0,0,0,0,23,982,1005,0,1005,0,0,0,0,0,DCLS,UMN,[],[],SRR28460730_Influenza_A_7,982,982
982,0,0,0,0,23,982,1005,0,1005,0,0,0,0,0,DCLS,WADDL,[],[],SRR28460730_Influenza_A_7,982,982
982,0,0,0,0,23,982,1005,0,1005,0,0,0,0,0,DCLS,WAPHL,[],[],SRR28460730_Influenza_A_7,982,982
982,0,11,0,0,12,993,1005,0,996,9,0,0,11,0,DCLS,WAPHL_custom,[],[np.str_('N')],SRR28460730_Influenza_A_7,982,1002
971,0,0,0,0,34,971,994,11,1005,0,0,0,0,0,GPHL,MA-DPH,[np.str_('N')],[],SRR28460730_Influenza_A_7,982,982
971,0,11,0,0,23,982,994,11,1005,0,0,0,11,0,GPHL,MDH,[np.str_('N')],[],SRR28460730_Influenza_A_7,982,993
971,0,0,0,0,34,971,994,11,1005,0,0,0,0,0,GPHL,UMN,[np.str_('N')],[],SRR28460730_Influenza_A_7,982,982
971,0,0,0,0,34,971,994,11,1005,0,0,0,0,0,GPHL,WADDL,[np.str_('N')],[],SRR28460730_Influenza_A_7,982,982
971,0,0,0,0,34,971,994,11,1005,0,0,0,0,0,GPHL,WAPHL,[np.str_('N')],[],SRR28460730_Influenza_A_7,982,982
971,0,11,0,0,23,982,994,11,996,9,0,0,11,0,GPHL,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR28460730_Influenza_A_7,982,1002
982,0,11,0,0,12,993,1005,0,1005,0,0,0,11,0,MA-DPH,MDH,[],[],SRR28460730_Influenza_A_7,982,993
982,0,0,0,0,23,982,1005,0,1005,0,0,0,0,0,MA-DPH,UMN,[],[],SRR28460730_Influenza_A_7,982,982
982,0,0,0,0,23,982,1005,0,1005,0,0,0,0,0,MA-DPH,WADDL,[],[],SRR28460730_Influenza_A_7,982,982
982,0,0,0,0,23,982,1005,0,1005,0,0,0,0,0,MA-DPH,WAPHL,[],[],SRR28460730_Influenza_A_7,982,982
982,0,11,0,0,12,993,1005,0,996,9,0,0,11,0,MA-DPH,WAPHL_custom,[],[np.str_('N')],SRR28460730_Influenza_A_7,982,1002
982,0,0,11,0,12,993,1005,0,1005,0,11,0,0,0,MDH,UMN,[],[],SRR28460730_Influenza_A_7,993,982
982,0,0,11,0,12,993,1005,0,1005,0,11,0,0,0,MDH,WADDL,[],[],SRR28460730_Influenza_A_7,993,982
982,0,0,11,0,12,993,1005,0,1005,0,11,0,0,0,MDH,WAPHL,[],[],SRR28460730_Influenza_A_7,993,982
990,0,3,3,0,9,996,1005,0,996,9,3,0,3,0,MDH,WAPHL_custom,[],[np.str_('N')],SRR28460730_Influenza_A_7,993,1002
982,0,0,0,0,23,982,1005,0,1005,0,0,0,0,0,UMN,WADDL,[],[],SRR28460730_Influenza_A_7,982,982
982,0,0,0,0,23,982,1005,0,1005,0,0,0,0,0,UMN,WAPHL,[],[],SRR28460730_Influenza_A_7,982,982
982,0,11,0,0,12,993,1005,0,996,9,0,0,11,0,UMN,WAPHL_custom,[],[np.str_('N')],SRR28460730_Influenza_A_7,982,1002
982,0,0,0,0,23,982,1005,0,1005,0,0,0,0,0,WADDL,WAPHL,[],[],SRR28460730_Influenza_A_7,982,982
982,0,11,0,0,12,993,1005,0,996,9,0,0,11,0,WADDL,WAPHL_custom,[],[np.str_('N')],SRR28460730_Influenza_A_7,982,1002
982,0,11,0,0,12,993,1005,0,996,9,0,0,11,0,WAPHL,WAPHL_custom,[],[np.str_('N')],SRR28460730_Influenza_A_7,982,1002
