match,match_iupac,ins,del,sub,invalid,valid,valid_s1,invalid_s1,valid_s2,invalid_s2,del_terminal,del_internal,ins_terminal,ins_internal,seq1,seq2,invalid_char_s1,invalid_char_s2,sample,length_s1,length_s2
1237,0,168,1,5,3,1411,1414,0,1414,0,0,1,0,168,BU-NEIDL,DCLS,[],[],ERR10221502_Influenza_A_6,1243,1410
1238,0,170,0,5,1,1413,1414,0,1414,0,0,0,0,170,BU-NEIDL,GPHL,[],[],ERR10221502_Influenza_A_6,1243,1413
1238,0,170,0,5,1,1413,1414,0,1414,0,0,0,0,170,BU-NEIDL,MDH,[],[],ERR10221502_Influenza_A_6,1243,1413
1238,0,167,0,5,4,1410,1414,0,1414,0,0,0,0,167,BU-NEIDL,UMN,[],[],ERR10221502_Influenza_A_6,1243,1410
1238,0,167,0,5,4,1410,1414,0,1414,0,0,0,0,167,BU-NEIDL,WADDL,[],[],ERR10221502_Influenza_A_6,1243,1410
1409,0,4,1,0,0,1414,1414,0,1414,0,0,1,0,4,DCLS,GPHL,[],[],ERR10221502_Influenza_A_6,1410,1413
1409,0,4,1,0,0,1414,1414,0,1414,0,0,1,0,4,DCLS,MDH,[],[],ERR10221502_Influenza_A_6,1410,1413
1409,0,1,1,0,3,1411,1414,0,1414,0,0,1,0,1,DCLS,UMN,[],[],ERR10221502_Influenza_A_6,1410,1410
1409,0,1,1,0,3,1411,1414,0,1414,0,0,1,0,1,DCLS,WADDL,[],[],ERR10221502_Influenza_A_6,1410,1410
1413,0,0,0,0,1,1413,1414,0,1414,0,0,0,0,0,GPHL,MDH,[],[],ERR10221502_Influenza_A_6,1413,1413
1410,0,0,3,0,1,1413,1414,0,1414,0,0,3,0,0,GPHL,UMN,[],[],ERR10221502_Influenza_A_6,1413,1410
1410,0,0,3,0,1,1413,1414,0,1414,0,0,3,0,0,GPHL,WADDL,[],[],ERR10221502_Influenza_A_6,1413,1410
1410,0,0,3,0,1,1413,1414,0,1414,0,0,3,0,0,MDH,UMN,[],[],ERR10221502_Influenza_A_6,1413,1410
1410,0,0,3,0,1,1413,1414,0,1414,0,0,3,0,0,MDH,WADDL,[],[],ERR10221502_Influenza_A_6,1413,1410
1410,0,0,0,0,4,1410,1414,0,1414,0,0,0,0,0,UMN,WADDL,[],[],ERR10221502_Influenza_A_6,1410,1410
