match,match_iupac,ins,del,sub,invalid,valid,valid_s1,invalid_s1,valid_s2,invalid_s2,del_terminal,del_internal,ins_terminal,ins_internal,seq1,seq2,invalid_char_s1,invalid_char_s2,sample,length_s1,length_s2
14862,0,1,0,0,1018,14863,15506,375,15579,302,0,0,0,1,BU-NEIDL,DCLS,[np.str_('N')],[np.str_('N')],SRR29541224_RSV_B,15237,15210
14497,0,0,55,0,1329,14552,15506,375,15263,618,55,0,0,0,BU-NEIDL,MDH,[np.str_('N')],[np.str_('N')],SRR29541224_RSV_B,15237,15140
14862,0,0,0,0,1019,14862,15506,375,15814,67,0,0,0,0,BU-NEIDL,UMN,[np.str_('N')],[np.str_('N')],SRR29541224_RSV_B,15237,15276
14277,0,643,110,475,376,15505,15506,375,15881,0,0,110,81,562,BU-NEIDL,WADDL,[np.str_('N')],[],SRR29541224_RSV_B,15237,15706
14516,1,0,57,5,1302,14579,15579,302,15263,618,56,1,0,0,DCLS,MDH,[np.str_('N')],[np.str_('N')],SRR29541224_RSV_B,15210,15140
14905,0,0,1,2,973,14908,15579,302,15814,67,0,1,0,0,DCLS,UMN,[np.str_('N')],[np.str_('N')],SRR29541224_RSV_B,15210,15276
14303,0,654,111,494,319,15562,15579,302,15881,0,0,111,81,573,DCLS,WADDL,[np.str_('N')],[],SRR29541224_RSV_B,15210,15706
14514,1,69,0,7,1290,14591,15263,618,15814,67,0,0,69,0,MDH,UMN,[np.str_('N')],[np.str_('N')],SRR29541224_RSV_B,15140,15276
13956,1,723,110,455,636,15245,15263,618,15881,0,0,110,150,573,MDH,WADDL,[np.str_('N')],[],SRR29541224_RSV_B,15140,15706
14395,0,587,157,657,85,15796,15814,67,15881,0,0,157,14,573,UMN,WADDL,[np.str_('N')],[],SRR29541224_RSV_B,15276,15706
