match,match_iupac,ins,del,sub,invalid,valid,valid_s1,invalid_s1,valid_s2,invalid_s2,del_terminal,del_internal,ins_terminal,ins_internal,seq1,seq2,invalid_char_s1,invalid_char_s2,sample,length_s1,length_s2
1408,0,0,148,0,0,1556,1556,0,1556,0,148,0,0,0,DCLS,GPHL,[],[],SRR32566846_Influenza_B_6,1556,1408
1408,0,0,148,0,0,1556,1556,0,1556,0,148,0,0,0,DCLS,MDH,[],[],SRR32566846_Influenza_B_6,1556,1408
1556,0,0,0,0,0,1556,1556,0,1556,0,0,0,0,0,DCLS,UMN,[],[],SRR32566846_Influenza_B_6,1556,1556
1556,0,0,0,0,0,1556,1556,0,1556,0,0,0,0,0,DCLS,WADDL,[],[],SRR32566846_Influenza_B_6,1556,1556
1408,0,0,0,0,148,1408,1556,0,1556,0,0,0,0,0,GPHL,MDH,[],[],SRR32566846_Influenza_B_6,1408,1408
1408,0,148,0,0,0,1556,1556,0,1556,0,0,0,148,0,GPHL,UMN,[],[],SRR32566846_Influenza_B_6,1408,1556
1408,0,148,0,0,0,1556,1556,0,1556,0,0,0,148,0,GPHL,WADDL,[],[],SRR32566846_Influenza_B_6,1408,1556
1408,0,148,0,0,0,1556,1556,0,1556,0,0,0,148,0,MDH,UMN,[],[],SRR32566846_Influenza_B_6,1408,1556
1408,0,148,0,0,0,1556,1556,0,1556,0,0,0,148,0,MDH,WADDL,[],[],SRR32566846_Influenza_B_6,1408,1556
1556,0,0,0,0,0,1556,1556,0,1556,0,0,0,0,0,UMN,WADDL,[],[],SRR32566846_Influenza_B_6,1556,1556
