match,match_iupac,ins,del,sub,invalid,valid,valid_s1,invalid_s1,valid_s2,invalid_s2,del_terminal,del_internal,ins_terminal,ins_internal,seq1,seq2,invalid_char_s1,invalid_char_s2,sample,length_s1,length_s2
14766,0,0,48,0,468,14814,14828,454,15134,148,48,0,0,0,BU-NEIDL,DCLS,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15280,14914
14770,0,0,21,1,490,14792,14828,454,15035,247,21,0,0,0,BU-NEIDL,GPHL,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15280,15018
14771,0,0,1,0,510,14772,14828,454,15013,269,1,0,0,0,BU-NEIDL,MA-DPH,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15280,15040
14734,0,0,1,0,547,14735,14828,454,14736,546,0,1,0,0,BU-NEIDL,UMN,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15280,15280
14694,0,0,72,1,515,14767,14828,454,14786,496,0,72,0,0,BU-NEIDL,VCU,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15280,15191
14769,0,0,52,5,456,14826,14828,454,15282,0,48,4,0,0,BU-NEIDL,WADDL,[np.str_('N')],[],SRR6849700_RSV_A,15280,14825
14805,0,0,21,0,456,14826,14828,454,14869,413,21,0,0,0,BU-NEIDL,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15280,15225
14764,0,1,21,1,495,14787,14828,454,14819,463,21,0,0,1,BU-NEIDL,YSPH,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15280,15229
14765,0,0,0,1,516,14766,15134,148,15035,247,0,0,0,0,DCLS,GPHL,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,14914,15018
14766,0,0,0,0,516,14766,15134,148,15013,269,0,0,0,0,DCLS,MA-DPH,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,14914,15040
14733,0,0,1,0,548,14734,15134,148,14736,546,0,1,0,0,DCLS,UMN,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,14914,15280
14692,0,0,72,1,517,14765,15134,148,14786,496,0,72,0,0,DCLS,VCU,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,14914,15191
14762,0,3,4,0,513,14769,15134,148,15282,0,0,4,3,0,DCLS,WADDL,[np.str_('N')],[],SRR6849700_RSV_A,14914,14825
14766,0,34,0,0,482,14800,15134,148,14869,413,0,0,34,0,DCLS,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,14914,15225
14764,0,1,0,1,516,14766,15134,148,14819,463,0,0,0,1,DCLS,YSPH,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,14914,15229
14767,0,0,0,1,514,14768,15035,247,15013,269,0,0,0,0,GPHL,MA-DPH,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15018,15040
14733,0,0,1,1,547,14735,15035,247,14736,546,0,1,0,0,GPHL,UMN,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15018,15280
14694,0,0,72,1,515,14767,15035,247,14786,496,0,72,0,0,GPHL,VCU,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15018,15191
14767,0,0,4,0,511,14771,15035,247,15282,0,0,4,0,0,GPHL,WADDL,[np.str_('N')],[],SRR6849700_RSV_A,15018,14825
14770,0,0,0,1,511,14771,15035,247,14869,413,0,0,0,0,GPHL,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15018,15225
14765,0,1,0,0,516,14766,15035,247,14819,463,0,0,0,1,GPHL,YSPH,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15018,15229
14734,0,0,1,0,547,14735,15013,269,14736,546,0,1,0,0,MA-DPH,UMN,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15040,15280
14692,0,0,72,1,517,14765,15013,269,14786,496,0,72,0,0,MA-DPH,VCU,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15040,15191
14764,0,3,4,3,508,14774,15013,269,15282,0,0,4,3,0,MA-DPH,WADDL,[np.str_('N')],[],SRR6849700_RSV_A,15040,14825
14771,0,5,0,0,506,14776,15013,269,14869,413,0,0,5,0,MA-DPH,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15040,15225
14764,0,1,0,1,516,14766,15013,269,14819,463,0,0,0,1,MA-DPH,YSPH,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15040,15229
14659,0,1,72,1,549,14733,14736,546,14786,496,0,72,0,1,UMN,VCU,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15280,15191
14730,0,1,4,0,547,14735,14736,546,15282,0,0,4,0,1,UMN,WADDL,[np.str_('N')],[],SRR6849700_RSV_A,15280,14825
14734,0,1,0,0,547,14735,14736,546,14869,413,0,0,0,1,UMN,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR6849700_RSV_A,15280,15225
