match,match_iupac,ins,del,sub,invalid,valid,valid_s1,invalid_s1,valid_s2,invalid_s2,del_terminal,del_internal,ins_terminal,ins_internal,seq1,seq2,invalid_char_s1,invalid_char_s2,sample,length_s1,length_s2
22318,1,0,2,0,7911,22321,27680,2552,22714,7518,0,2,0,0,DCLS,GPHL,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29794,29888
26359,0,11,0,5,3857,26375,27680,2552,27207,3025,0,0,0,11,DCLS,UMN,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29794,29903
26486,0,0,2,3,3741,26491,27680,2552,26868,3364,0,2,0,0,DCLS,VCU,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29794,29888
27240,0,83,0,2,2907,27325,27680,2552,30232,0,0,0,77,6,DCLS,WADDL,[np.str_('N')],[],SRR21643272_SARS-CoV-2,29794,28441
27227,0,22,2,4,2977,27255,27680,2552,28547,1685,0,2,0,22,DCLS,WAPHL,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29794,29870
27223,1,22,5,4,2977,27255,27680,2552,28616,1616,3,2,0,22,DCLS,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29794,29796
22282,1,8,0,3,7938,22294,22714,7518,27207,3025,0,0,0,8,GPHL,UMN,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29888,29903
22299,1,0,0,0,7932,22300,22714,7518,26868,3364,0,0,0,0,GPHL,VCU,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29888,29888
22369,1,16,0,0,7846,22386,22714,7518,30232,0,0,0,8,8,GPHL,WADDL,[np.str_('N')],[],SRR21643272_SARS-CoV-2,29888,28441
22368,1,0,0,1,7862,22370,22714,7518,28547,1685,0,0,0,0,GPHL,WAPHL,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29888,29870
22364,2,0,3,1,7862,22370,22714,7518,28616,1616,3,0,0,0,GPHL,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29888,29796
25910,0,0,4,8,4310,25922,27207,3025,26868,3364,0,4,0,0,UMN,VCU,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29903,29888
26845,0,9,17,16,3345,26887,27207,3025,30232,0,2,15,8,1,UMN,WADDL,[np.str_('N')],[],SRR21643272_SARS-CoV-2,29903,28441
26866,0,0,8,4,3354,26878,27207,3025,28547,1685,0,8,0,0,UMN,WAPHL,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29903,29870
26860,2,0,13,3,3354,26878,27207,3025,28616,1616,5,8,0,0,UMN,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29903,29796
26512,0,11,4,8,3697,26535,26868,3364,30232,0,0,4,8,3,VCU,WADDL,[np.str_('N')],[],SRR21643272_SARS-CoV-2,29888,28441
26518,0,0,0,6,3708,26524,26868,3364,28547,1685,0,0,0,0,VCU,WAPHL,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29888,29870
26514,1,0,3,6,3708,26524,26868,3364,28616,1616,3,0,0,0,VCU,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29888,29796
28052,0,103,16,30,2031,28201,30232,0,28547,1685,8,8,2,101,WADDL,WAPHL,[],[np.str_('N')],SRR21643272_SARS-CoV-2,28441,29870
28048,2,101,68,29,1984,28248,30232,0,28616,1616,60,8,0,101,WADDL,WAPHL_custom,[],[np.str_('N')],SRR21643272_SARS-CoV-2,28441,29796
28178,2,0,5,0,2047,28185,28547,1685,28616,1616,5,0,0,0,WAPHL,WAPHL_custom,[np.str_('N')],[np.str_('N')],SRR21643272_SARS-CoV-2,29870,29796
